,ang_dist,cone_dist,inplane_dist
0,26118196.0,27684921.0,27059238.0
1,1126755.0,1024081.0,1146901.0
2,1041836.0,913887.0,1033016.0
3,972201.0,819472.0,928732.0
4,913510.0,744101.0,838833.0
5,820202.0,672860.0,759132.0
6,725682.0,613996.0,682847.0
7,644296.0,564213.0,614487.0
8,576558.0,515684.0,562456.0
9,523858.0,464551.0,511388.0
10,480179.0,423754.0,468066.0
11,446351.0,388824.0,427581.0
12,416241.0,357434.0,392925.0
13,388733.0,334779.0,361229.0
14,360025.0,311265.0,331001.0
15,337494.0,290389.0,307147.0
16,314976.0,271402.0,282541.0
17,291242.0,254181.0,261777.0
18,267612.0,236702.0,243063.0
19,250444.0,222962.0,222721.0
20,229896.0,208298.0,203060.0
21,211534.0,195725.0,187334.0
22,198784.0,181490.0,168782.0
23,184466.0,170525.0,154551.0
24,169500.0,159496.0,140317.0
25,158040.0,147567.0,130689.0
26,145629.0,136619.0,121024.0
27,134582.0,127716.0,112833.0
28,124774.0,119211.0,103331.0
29,114256.0,108163.0,95596.0
30,104035.0,100563.0,88584.0
31,96420.0,92524.0,81596.0
32,86690.0,85697.0,75240.0
33,80774.0,79785.0,68719.0
34,72735.0,72519.0,62756.0
35,67825.0,68473.0,59151.0
36,61084.0,62769.0,52731.0
37,56422.0,57543.0,49082.0
38,51532.0,52494.0,44603.0
39,46859.0,48973.0,40587.0
40,42497.0,44160.0,37086.0
41,37965.0,40187.0,32846.0
42,34908.0,36470.0,29623.0
43,30412.0,32859.0,25919.0
44,27438.0,29535.0,22660.0
45,24056.0,26123.0,17991.0
46,21097.0,22710.0,13806.0
47,17516.0,19741.0,9589.0
48,14161.0,15951.0,7484.0
49,11235.0,12182.0,6017.0
50,8713.0,9037.0,4949.0
51,6125.0,6599.0,4021.0
52,3986.0,4893.0,3187.0
53,2470.0,3532.0,2717.0
54,1677.0,2720.0,2019.0
55,1247.0,2224.0,1640.0
56,1092.0,1817.0,1416.0
57,788.0,1442.0,952.0
58,693.0,1100.0,686.0
59,576.0,924.0,617.0
60,412.0,666.0,476.0
61,270.0,485.0,342.0
62,229.0,386.0,220.0
63,224.0,345.0,154.0
64,162.0,265.0,134.0
65,89.0,136.0,79.0
66,64.0,94.0,80.0
67,38.0,80.0,36.0
68,47.0,59.0,43.0
69,37.0,70.0,21.0
70,21.0,45.0,7.0
71,17.0,18.0,11.0
72,11.0,13.0,14.0
73,5.0,20.0,12.0
74,6.0,8.0,7.0
75,4.0,8.0,8.0
76,4.0,1.0,0.0
77,2.0,5.0,0.0
78,0.0,2.0,2.0
79,2.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,2.0
82,0.0,2.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,2.0,0.0,2.0
87,0.0,2.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,2.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,2.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,1.0,0.0,2.0
98,0.0,0.0,0.0
99,1.0,2.0,2.0
